company_name,policy_id,question,answer,topic,tags,related_questions,has_related_questions,num_tags,policy_length,num_related_questions
Salesforce,q1,What is Salesforce's commitment to human rights?,"Salesforce is committed to respecting human rights across its business and value chain, informed by the International Bill of Human Rights, the UN Guiding Principles on Business and Human Rights, and the OECD Guidelines for Multinational Enterprises. Salesforce engages with governments, partners, and civil society to support human rights.",Human Rights Commitment,"['human rights', 'commitment', 'values', 'principles']",[],False,4,388,0
Salesforce,q2,How does Salesforce implement human rights due diligence?,"Salesforce integrates human rights due diligence by embedding commitment in business processes, assessing risks, and maintaining oversight through an internal governance structure. Remedy mechanisms are in place, alongside reporting processes to track performance and accountability.",Human Rights Due Diligence,"['due diligence', 'implementation', 'governance', 'oversight']","[""What are Salesforce's human rights due diligence processes?"", 'Does Salesforce have a governance structure for human rights?']",True,4,340,2
Salesforce,q3,What is Salesforce's approach to privacy?,"Salesforce views privacy as a fundamental right and has a privacy program aligned with global data protection laws. Salesforce regularly refines its privacy measures, including data processing transparency and protecting data security across cloud services.",Customer Privacy,"['privacy', 'data protection', 'security', 'customers']",[],False,4,298,0
Salesforce,HR004,How does Salesforce ensure ethical and inclusive product development?,"Salesforce commits to ethical technology use, focusing on responsible AI, ethical use policy, accessibility, and inclusive design. Salesforce participates in AI ethics initiatives like the UNESCO Business Council for Ethics of AI.",Ethical and Inclusive Technology,"['AI', 'ethical technology', 'inclusive design', 'responsible AI']","[""What is Salesforce's ethical stance on AI?"", 'How does Salesforce design inclusive products?']",True,4,299,2
Salesforce,HR005,What health and safety measures does Salesforce have for employees?,"Salesforce promotes a safe work environment through health and safety management systems, open communication, and compliance with laws. Salesforce aims to prevent incidents and continually improve safety standards.",Employee Health and Safety,"['health', 'safety', 'workplace', 'employees']",[],False,4,281,0
Salesforce,HR006,What is Salesforce's policy on equality and non-discrimination?,"Salesforce champions inclusiveness and diversity, with equal opportunity policies for all employees, irrespective of personal characteristics. Salesforce promotes pay equity and works against harassment and bullying in the workplace.",Equality and Non-Discrimination,"['equality', 'non-discrimination', 'diversity', 'workplace']","['How does Salesforce address workplace equality?', 'Does Salesforce support diversity?']",True,4,296,2
Salesforce,HR007,What are Salesforce's commitments regarding forced and child labor?,"Salesforce prohibits forced, bonded, or child labor and does not tolerate human trafficking. Salesforce's policies ensure voluntary labor, legal rights, and unrestricted movement for employees.",Labor Practices,"['forced labor', 'child labor', 'human trafficking', 'labor rights']",[],False,4,260,0
Salesforce,HR008,How does Salesforce engage with suppliers regarding human rights?,"Salesforce expects suppliers to uphold human rights through its Global Supplier Code of Conduct. High-risk suppliers undergo regular audits, and corrective actions are taken when necessary.",Supplier Engagement,"['suppliers', 'human rights', 'supplier code of conduct', 'audits']",[],False,4,254,0
Salesforce,HR009,What is Salesforce's stance on environmental sustainability?,"Salesforce supports environmental sustainability, advocating for climate action, decarbonization, and resource equity. Salesforce has several policy priorities focused on climate and nature conservation.",Environmental Sustainability,"['environment', 'sustainability', 'climate', 'resource equity']","[""What are Salesforce's environmental commitments?"", 'How does Salesforce address climate change?']",True,4,263,2
Salesforce,HR010,How does Salesforce interact with Indigenous communities?,"Salesforce respects Indigenous rights, supports decision-making in nature-based solutions, and upholds Free, Prior, and Informed Consent for local communities and Indigenous peoples.",Indigenous Rights,"['indigenous rights', 'communities', 'FPIC', 'sustainability']",[],False,4,239,0
